old,new
AARHUS SCHOOL OF BUSINESS,AARHUS UNIVERSITY
BAR-ILAN UNIVERSITY,BAR ILAN UNIVERSITY
BARUCH COLLEGE,"CUNY, BARUCH COLLEGE"
CALIFORNIA STATE UNIVERSITY AT FRESNO,"CALIFORNIA STATE UNIVERSITY, FRESNO"
CITY UNIVERSITY OF HONG KONG,CITY UNIVERSITY HONG KONG
COLUMBIA BUSINESS SCHOOL,COLUMBIA UNIVERSITY
"CREI, UNIVERSITAT POMPEU FABRA",POMPEU FABRA UNIVERSITY
ECARES,UNIVERSITE LIBRE DE BRUXELLES
"ECARES, UNIVERSITE LIBRE DE BRUXELLES",UNIVERSITE LIBRE DE BRUXELLES
ECOLE POLYTECHNIQUE,UNIVERSITY OF PARIS X
"EPGE, GETULIO VARGAS FOUNDATION","FGV EPGE, RIO DE JANEIRO"
HARVARD LAW SCHOOL,HARVARD UNIVERSITY
HEBREW UNIVERSITY,HEBREW UNIVERSITY OF JERUSALEM
HEC LAUSANNE,UNIVERSITY OF LAUSANNE
HEC MONTRÃ‰AL,UNIVERSITY OF MONTREAL
HUMBOLDT UNIVERSITY,HUMBOLDT UNIVERSITY OF BERLIN
"IBRE, GETULIO VARGAS FOUNDATION","FGV EPGE, RIO DE JANEIRO"
LAVAL UNIVERSITY,UNIVERSITY LAVAL
LONDON SCHOOL OF ECONOMICS,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
LUISS GUIDO CARLI,LUISS GUIDO CARLI UNIVERSITY
MIT,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
NORTHERN ILLINOIS UNIVERSITY,
NORWEGIAN SCHOOL OF MANAGEMENT,"NORWEGIAN BUSINESS SCHOOL, BI"
OBERLIN COLLEGE,
ROYAL INSTITUTE OF TECHNOLOGY,KTH ROYAL INSTITUTE OF TECHNOLOGY
RUTGERS UNIVERSITY,RUTGERS STATE UNIVERSITY
"SIFR, STOCKHOLM SCHOOL OF ECONOMICS",STOCKHOLM SCHOOL OF ECONOMICS
"TRINITY COLLEGE, DUBLIN",TRINITY COLLEGE DUBLIN
UNIVERSIDAD TORCUATO DI TELLA,TORCUATO DI TELLA UNIVERSITY
UNIVERSITA DE MODENA E REGGIO EMILIA,UNIVERSITY OF MODENA
UNIVERSITA DEGLI STUDI DI BERGAMO,UNIVERSITY OF BERGAMO
UNIVERSITA DI BRESCIA,UNIVERSITY OF BRESCIA
UNIVERSITA DI ROMA LA SAPIENZA,"UNIVERSITY OF ROME, LA SAPIENZA"
UNIVERSITAT AUTONOMA DE BARCELONA,UNIVERSITY AUTONOMA BARCELONA
UNIVERSITAT POMPEU FABRA,POMPEU FABRA UNIVERSITY
UNIVERSITE CERGY-PONTOISE,UNIVERSITY OF CERGY PONTOISE
UNIVERSITE DE MONTREAL,UNIVERSITY OF MONTREAL
UNIVERSITE DU QUEBEC A MONTREAL,UNIVERSITY OF QUEBEC
UNIVERSITE PARIS-I PANTHEON-SORBONNE,UNIVERSITY OF PARIS I
UNIVERSITY OF ILLINOIS AT CHICAGO,"UNIVERSITY OF ILLINOIS, CHICAGO"
UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN"
UNIVERSITY OF MINNESOTA,"UNIVERSITY OF MINNESOTA, TWIN CITIES"
UNIVERSITY OF MISSOURI,"UNIVERSITY OF MISSOURI, COLUMBIA"
UNIVERSITY OF NAPLES FEDERICO II,UNIVERSITY OF NAPLES FEDERICO 2
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL"
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,"UNIVERSITY OF NORTH CAROLINA, CHARLOTTE"
UNIVERSITY OF ROME III,"UNIVERSITY OF ROME, TRE"
UNIVERSITY OF TEXAS AT AUSTIN,"UNIVERSITY OF TEXAS, AUSTIN"
UNIVERSITY OF TEXAS AT DALLAS,"UNIVERSITY OF TEXAS, DALLAS"
UNIVERSITY OF WISCONSIN-MADISON,"UNIVERSITY OF WISCONSIN, MADISON"
WASHINGTON UNIVERSITY IN ST. LOUIS,WASHINGTON UNIVERSITY
